Creating Table
-- START --
Number block: 23121967
NFTs address: 0xa7a9a8156C24C4B0ca910c3bA842D1F1ac7200ef
number of transfer from 11715000 to 11720000: 17
Add Transfer with (transactionHash - logIndex): (0x39a1143a93593fea7752651e8c0af9b5c2c6ac2c6e1a38d1e30192efaa0bb2e8 - 384
Add Transfer with (transactionHash - logIndex): (0x9738346d579d4ed40a19a8a218cbf94306f21088894d934c94d1501089f1f40e - 212
Add Transfer with (transactionHash - logIndex): (0xab14b8b4101cee1c723a7676c720c233768979862c5eb947704bc586e2c448ed - 84
Add Transfer with (transactionHash - logIndex): (0xe946fe1751c5f5aae6564025d9374ddd72bda10bb410b92c4f1d1b0eba522196 - 167
number of transfer from 11795000 to 11800000: 17
Add Transfer with (transactionHash - logIndex): (0x043bdb5a993083fb961f73bffa49d38b3f28d753addebc7dce21453db29926b9 - 583
Add Transfer with (transactionHash - logIndex): (0xcbb817ec33e9502034ea34ba3163d3300086a816781bd8d081a8ea1ab7d08f1d - 402
Add Transfer with (transactionHash - logIndex): (0x4661f168be03ebe0968120572fdfb362f0b88e15389ac71b617e1faddf360e1b - 428
Add Transfer with (transactionHash - logIndex): (0x82f99bb70bc29b8246d7e7480b76f15ecccc7054c9c3ef98b3af1959e7b70ff5 - 1175
Add Transfer with (transactionHash - logIndex): (0x56a1886f2238ffdf0e1c907bb15bc22cb9e39194bab87d879ecee509b02ec682 - 778
Add Transfer with (transactionHash - logIndex): (0x1e797e439f948ccbc15fc254a60ef28e5cbd0e168ef2a4d9b900f426e6293b5c - 609
Add Transfer with (transactionHash - logIndex): (0x809d99700451c7d6535762928054d1dcc0dd590f9edd85a76b29d2582f125db3 - 403
Add Transfer with (transactionHash - logIndex): (0x4f664233b722f43b6492b5b3d8495b37cdc82c8138fcd1bf725a3ea12f5a1f2f - 302
Add Transfer with (transactionHash - logIndex): (0xdb60ddcf66ec32300dbc7960b070ffe47e29dc089402575b0984491666e94fe9 - 312
Add Transfer with (transactionHash - logIndex): (0xd1ee96e7e01e3bf37f9efd0fdc4547edbb58bdafc8d971671124df621d32d544 - 835
Add Transfer with (transactionHash - logIndex): (0x3d0a9f4cdbfac834427475e85a3536e0c4999e061dad160f3a950fa5f5877d55 - 483
Add Transfer with (transactionHash - logIndex): (0xc67024072c02370117539b46943252db4c7462693113903dedb4d27414134de1 - 636
Add Transfer with (transactionHash - logIndex): (0xbbb5145f491d6174f8dd5f07f6ef22cab1be29da9087cd9622e7ba81c6852044 - 348
Add Transfer with (transactionHash - logIndex): (0x225c91c9540e5b5dc57428f8a3507983d6cbe4fabb7adb500b41c3ed9db94c47 - 454
Add Transfer with (transactionHash - logIndex): (0xe1204f1872ee9286a2798b41d3e1b210ca6706b60293a47de349d5a487312ddf - 646
Add Transfer with (transactionHash - logIndex): (0xae119612fd92386b349694eff7a80fa8b8f442663c240904c83fec0492ae6b79 - 712
Add Transfer with (transactionHash - logIndex): (0xccaae79e8370e3181b96b7d280424364527b4a2f4ea094b7d014cb708b454917 - 281
number of transfer from 11800000 to 11805000: 1
Add Transfer with (transactionHash - logIndex): (0xa7df43277de80428d7690ab1a5aa458989e28667d108d6307e0da3ba73e94103 - 239
number of transfer from 11805000 to 11810000: 2
Add Transfer with (transactionHash - logIndex): (0xe9e5254f5018f1417319d786f590203897cccf18528a2950a957080b596e9c7a - 381
